ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
CU1811.SHF,20180402,51260.0,51030.0,51220.0,51910.0,51200.0,51450.0,51400.0,420.0,370.0,304.0,7813.67,25942.0,4.0
CU1811.SHF,20180403,51450.0,51400.0,51330.0,51670.0,51220.0,51310.0,51370.0,-90.0,-30.0,1950.0,50089.71,26106.0,164.0
CU1811.SHF,20180404,51310.0,51370.0,51420.0,51490.0,51220.0,51250.0,51320.0,-120.0,-50.0,1756.0,45067.58,26336.0,230.0
CU1811.SHF,20180409,51250.0,51320.0,51260.0,51740.0,51050.0,51680.0,51320.0,360.0,0.0,2834.0,72728.26,26582.0,246.0
CU1811.SHF,20180410,51680.0,51320.0,51610.0,52290.0,51410.0,51970.0,51770.0,650.0,450.0,2836.0,73410.18,26664.0,82.0
CU1811.SHF,20180411,51970.0,51770.0,52300.0,52450.0,51800.0,51990.0,52220.0,220.0,450.0,2196.0,57339.71,26644.0,-20.0
CU1811.SHF,20180412,51990.0,52220.0,52040.0,52210.0,51230.0,51520.0,51810.0,-700.0,-410.0,1154.0,29895.78,26586.0,-58.0
CU1811.SHF,20180413,51520.0,51810.0,51180.0,51490.0,51080.0,51430.0,51300.0,-380.0,-510.0,434.0,11133.14,26696.0,110.0
CU1811.SHF,20180416,51430.0,51300.0,51520.0,51520.0,51000.0,51370.0,51310.0,70.0,10.0,152.0,3900.21,26690.0,-6.0
CU1811.SHF,20180417,51370.0,51310.0,51470.0,52690.0,51470.0,51750.0,51760.0,440.0,450.0,418.0,10818.03,26730.0,40.0
CU1811.SHF,20180418,51750.0,51760.0,51560.0,52210.0,51360.0,52030.0,51810.0,270.0,50.0,1256.0,32537.32,26524.0,-206.0
CU1811.SHF,20180419,52030.0,51810.0,52700.0,53320.0,49880.0,52860.0,52800.0,1050.0,990.0,5184.0,136880.98,26784.0,260.0
CU1811.SHF,20180420,52860.0,52800.0,52400.0,52570.0,52110.0,52330.0,52360.0,-470.0,-440.0,886.0,23199.5,26682.0,-102.0
CU1811.SHF,20180423,52330.0,52360.0,52470.0,52980.0,52380.0,52760.0,52660.0,400.0,300.0,356.0,9373.95,26590.0,-92.0
CU1811.SHF,20180424,52760.0,52660.0,52170.0,52740.0,51790.0,52480.0,52370.0,-180.0,-290.0,572.0,14978.4,26546.0,-44.0
